1, 8, 30, 9, 30, 0
10, 9, 34, 9, 48, 0
2, 9, 52, 10, 52, 0
3, 10, 56, 11, 56, 0
12, 11, 56, 12, 36, 0
4, 12, 40, 13, 39, 0
5, 13, 43, 14, 42, 0
6, 14, 46, 15, 45, 0
1, 8, 30, 9, 28, 1
15, 9, 32, 9, 55, 1
2, 9, 59, 10, 57, 1
3, 11, 1, 11, 59, 1
12, 11, 59, 12, 39, 1
7, 12, 43, 13, 41, 1
8, 13, 45, 14, 43, 1
9, 14, 47, 15, 45, 1
4, 8, 30, 9, 30, 2
13, 9, 34, 10, 31, 2
9, 10, 35, 11, 34, 2
12, 11, 34, 12, 14, 2
6, 12, 18, 13, 16, 2
10, 13, 20, 13, 40, 2
7, 13, 44, 14, 43, 2
5, 14, 47, 15, 45, 2
1, 8, 30, 9, 28, 3
15, 9, 32, 10, 12, 3
2, 10, 16, 11, 14, 3
3, 11, 18, 12, 16, 3
12, 12, 16, 12, 56, 3
4, 13, 0, 13, 58, 3
14, 14, 2, 14, 43, 3
8, 14, 47, 15, 45, 3
5, 8, 30, 9, 30, 4
6, 9, 35, 10, 34, 4
11, 10, 38, 10, 59, 4
7, 11, 3, 12, 3, 4
12, 12, 3, 12, 46, 4
8, 12, 50, 13, 51, 4
9, 13, 55, 14, 55, 4
